movie_id,genre_id
17687,18
26614,18
26614,80
31514,35
31514,10402
27899,18
27899,80
52748,18
36049,35
36049,10749
36049,18
36049,12
39259,27
42861,18
42861,37
42861,36
41062,35
41062,10749
84295,18
84295,10751
84295,35
42816,18
29740,18
29740,80
33680,18
33680,10749
118731,10749
118731,18
13912,35
13912,10749
26860,27
48365,35
28268,35
28268,18
1994,53
1994,12
1994,27
136,18
136,27
3031,27
3031,878
31592,18
31592,27
31592,53
81107,35
81107,18
81107,10749
157888,35
157888,10402
779,27
779,14
779,9648
875,18
875,10749
875,10752
875,80
875,36
42914,80
42914,18
31532,35
31532,10749
877,80
877,18
77966,35
77966,10749
77966,18
59158,9648
59158,35
59158,27
91181,18
91181,9648
72495,18
72495,12
72495,14
15007,53
15007,9648
15007,80
15007,35
28432,35
28432,10402
31526,10749
31526,36
31526,18
43122,36
43122,18
244,12
244,14
244,27
39938,18
39938,10751
25694,10751
25694,14
25694,35
43148,27
43148,53
3062,35
3062,18
3062,10749
167657,18
3063,35
3063,10752
164865,80
164865,18
31511,35
31511,18
83868,10749
83868,35
38585,80
38585,9648
38585,53
217645,16
217645,10402
10787,27
10787,878
27449,18
77210,35
77210,10749
56164,18
56164,10752
3078,35
3078,10749
41347,35
31527,18
31527,36
31527,10749
82096,18
82096,10749
43691,18
43691,12
43902,36
43902,18
43902,10749
43905,18
43905,10749
43904,10749
43904,18
43904,35
46910,28
46910,10752
38725,18
23122,27
43901,35
43901,18
43901,10751
182922,28
182922,12
182922,35
82179,35
82179,80
53864,18
53864,9648
53864,10749
8208,53
8208,9648
47921,18
47921,10749
140517,9648
3080,10402
3080,35
3080,10749
260,9648
260,53
70881,36
70881,18
70881,10749
12311,12
12311,18
12311,36
43894,10402
43894,10749
31798,35
31798,10402
31798,10749
47920,18
47920,10749
37719,35
37719,10402
229,27
229,878
164894,9648
164894,10749
198982,80
198982,9648
28261,27
28261,10749
20325,10749
20325,35
3082,35
3082,18
3082,10749
43884,18
43884,12
43884,10752
43881,18
43881,10749
43881,10402
38721,18
38721,35
38721,10749
17030,80
17030,18
17030,10749
17030,53
24807,35
24807,18
24807,10749
43872,35
43872,10402
43872,10749
23389,27
38070,35
43877,18
52429,35
52429,10749
43277,10402
43277,18
43277,10749
38713,9648
38713,53
52047,18
43874,18
43874,10749
43874,36
189005,35
189005,18
189005,10402
43879,18
43879,10749
27974,80
27974,18
13562,35
12684,18
12684,53
12684,80
14615,80
14615,18
203045,9648
337245,27
54569,18
54569,10749
2761,53
2761,9648
2761,10749
22440,18
22440,14
22440,27
31530,35
31530,10749
43864,35
43864,18
43865,18
43865,10749
30630,36
30630,18
30630,10749
23101,35
23101,14
23101,10749
3598,12
3598,14
3598,18
3598,10749
43867,10749
43867,12
43867,18
87115,36
87115,18
87115,12
87115,10749
249799,18
249799,36
249799,10749
408,14
408,16
408,10751
11939,35
11939,10402
37650,35
37650,10749
41059,18
41059,10749
44579,80
44579,9648
26252,18
26252,80
26252,10749
14675,35
14675,10749
